Priority Rank,Priority,SKU,Name,Need Type,Unit Type,Category,Subcategory,List Qty,Available Qty,Reserved Qty,Incoming Qty,Threshold Min,Sales Window Days,Units Sold,Avg Daily Sales,Days of Cover,Target Days of Cover,Recommended Reorder Qty,Urgency Score,Unavailable
94,Low,SRENE - Royale Grape - Pre Roll - .7g - 5 Pack,SRENE - Royale Grape - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,550.0,550.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
95,Low,SRENE - Rose Sorbet - Pre Roll - .7g - 5 Pack,SRENE - Rose Sorbet - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,131.0,131.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
96,Low,Bud - Lemon Rope,Bud - Lemon Rope,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,2256.87,51.87,2205.0,2205.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
97,Low,Preroll Material - Zero Gravity,Preroll Material - Zero Gravity,Bulk,g,Shake/Trim,Preroll Material,783.1,783.1,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
98,Low,Trim - Lemon Rope,Trim - Lemon Rope,Bulk,g,Shake/Trim,Bulk Shake/Trim,2757.81,2757.81,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
99,Low,SRENE - 1g Cart - Tropicana Acai Slush,SRENE - 1g Cart - Tropicana Acai Slush,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,382.0,382.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
100,Low,Preroll Material - Rose Sorbet,Preroll Material - Rose Sorbet,Bulk,g,Shake/Trim,Preroll Material,631.0,631.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
101,Low,Bud - BioFuel,Bud - BioFuel,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,2255.65,50.65,2205.0,2205.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
102,Low,SRENE - 1g - Pre-roll - Purple Haze,SRENE - 1g - Pre-roll - Purple Haze,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,42.0,42.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
103,Low,Trim - Tropicana Acai,Trim - Tropicana Acai,Bulk,g,Shake/Trim,Bulk Shake/Trim,6035.9,6035.9,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
