Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
LEVEL Protab - Indica - 10pk - 10mg,LEV-PRO-10P-IND-10mg,500,3980.00,Unit,Capsule/Tablet,LEVEL - 10pk,Wholesale,SSAC (P),Brandon Green,,16.00,16.0,08542800532746610043,
SRENE - 1g Cart - Limesicle,SRE-1g-CRT-LIM,425,3900.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),,,12.00,,08542800532746610043,
1mg SRENE Gummy - Cherry Cola - 100pk,SRENE-100-CHC,288,3800.00,Unit,Infused Edible,100pk Gummy,Wholesale,SSAC (P),Clinton Fontes,,17.50,,08542800532746610043,
SRENE - 1g AIO Cart - Blueberry Moon,SRE-1g-CRT-AIO-BLM,250,3750.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
1mg SRENE Gummy - Dragon Fruit Pineapple - 100pk,SRENE-100-DFP,278,3700.00,Unit,Infused Edible,100pk Gummy,Wholesale,SSAC (P),Clinton Fontes,,17.50,,08542800532746610043,
SRENE - 1g Cart - Tropical Breath,SRE-1g-CRT-TB,350,3626.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g - Pre-roll - GovernMint Oasis,SRN-PRJ-GOV,1175,3550.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,4.00,4.0,17334914845519714402,
SRENE - 1g Cart - Guava Diesel,SRE-1g-CRT-GD,335,3532.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,12.0,08542800532746610043,
SRENE - 30ml Tincture - Rest and Recharge - 4:2:1:1 - 100mg,SRE-TNC-V30-R&R-100,350,3500.00,Unit,Tinctures (Each),Tinc - Rest&Recharge,Wholesale,SSAC (P),,,10.00,,08542800532746610043,
SRENE - Strange Haze #8 - Pre Roll - .7g - 5 Pack,SRE- PRJ - STR - .7 - 5pk,350,3500.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
